,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Aquatic,Semiaquatic,Terrestrial,Scansorial,Fossorial,Subfossorial,Cave_dwelling,Adult_habitat
1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,Ambystoma_amblycephalum,yes,no,no,no,no,no,no,aquatic
2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,Ambystoma_annulatum,no,no,no,no,yes,no,no,fossorial
3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,Ambystoma_bishopi,no,no,no,no,yes,no,no,fossorial
4,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,Ambystoma_californiense,no,no,no,no,yes,no,no,fossorial
5,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,Ambystoma_dumerilii,yes,no,no,no,no,no,no,aquatic
6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,Ambystoma_gracile,no,no,no,no,yes,no,no,fossorial
7,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,Ambystoma_granulosum,NA,NA,NA,NA,NA,NA,no,terrestrial
8,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,Ambystoma_jeffersonianum,no,no,no,no,yes,no,no,fossorial
9,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,Ambystoma_macrodactylum,no,no,no,no,yes,no,no,fossorial
10,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,Ambystoma_maculatum,no,no,no,no,yes,no,no,fossorial
11,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,Ambystoma_mexicanum,yes,no,no,no,no,no,no,aquatic
12,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,Ambystoma_opacum,no,no,no,no,no,yes,no,subfossorial
13,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,Ambystoma_ordinarium,yes,no,no,no,no,no,no,aquatic
14,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,Ambystoma_rosaceum,yes,no,no,no,no,no,no,aquatic
15,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,Ambystoma_talpoideum,no,no,no,no,yes,no,no,fossorial
16,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,no,no,no,no,yes,no,no,fossorial
17,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,Ambystoma_tigrinum,no,no,no,no,yes,no,no,fossorial
18,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,Amphiuma_means,yes,no,no,no,no,no,no,aquatic
19,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,Amphiuma_tridactylum,yes,no,no,no,no,no,no,aquatic
20,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,Andrias_davidianus,yes,no,no,no,no,no,no,aquatic
21,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,Andrias_japonicus,yes,no,no,no,no,no,no,aquatic
22,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,Cryptobranchus_alleganiensis,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,Dicamptodon_aterrimus,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,Dicamptodon_copei,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,Dicamptodon_ensatus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,Dicamptodon_tenebrosus,no,no,no,no,no,yes,no,subfossorial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,Batrachuperus_karlschmidti,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,Batrachuperus_yenyuanensis,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,abei,Hynobius_abei,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,amjiensis,Hynobius_amjiensis,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,chinensis,Hynobius_chinensis,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,kimurae,Hynobius_kimurae,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,leechii,Hynobius_leechii,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,lichenatus,Hynobius_lichenatus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,naevius ,Hynobius_naevius ,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nebulosus,Hynobius_nebulosus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,nigrescens,Hynobius_nigrescens,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,sonani,Hynobius_sonani,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Hynobius,tsuensis,Hynobius_tsuensis,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Liua,shihi,Liua_shihi,yes,no,no,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,fischeri,Onychodactylus_fischeri,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Onychodactylinae,Onychodactylus,japonicus,Onychodactylus_japonicus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Pachyhynobius,shangchengensis,Pachyhynobius_shangchengensis,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Paradactylodon,mustersi,Paradactylodon_mustersi,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Ranodon,sibiricus,Ranodon_sibiricus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Salamandrella,keyserlingii,Salamandrella_keyserlingii,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,aeneus,Aneides_aeneus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,ferreus,Aneides_ferreus,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,flavipunctatus,Aneides_flavipunctatus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,hardii,Aneides_hardii,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,lugubris,Aneides_lugubris,no,no,yes,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,niger,Aneides_niger,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,vagrans,Aneides_vagrans,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,attenuatus,Batrachoseps_attenuatus,no,no,yes,no,yes,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,major,Batrachoseps_major,no,no,yes,no,yes,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,nigriventris,Batrachoseps_nigriventris,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,pacificus,Batrachoseps_pacificus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,relictus,Batrachoseps_relictus,no,yes,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,altamazonica,Bolitoglossa_altamazonica,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,engelhardti,Bolitoglossa_engelhardti,no,no,no,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,lignicolor,Bolitoglossa_lignicolor,no,no,no,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,marmorea,Bolitoglossa_marmorea,no,no,no,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,mexicana,Bolitoglossa_mexicana,no,no,no,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,morio,Bolitoglossa_morio,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,platydactyla,Bolitoglossa_platydactyla,no,no,no,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rostrata,Bolitoglossa_rostrata,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rufescens,Bolitoglossa_rufescens,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,subpalmata,Bolitoglossa_subpalmata,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,chiropterus,Chiropterotriton_chiropterus,no,no,NA,yes,no,no,no,scansorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,multidentatus,Chiropterotriton_multidentatus,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,auriculatus,Desmognathus_auriculatus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,brimleyorum,Desmognathus_brimleyorum,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,conanti,Desmognathus_conanti,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,fuscus,Desmognathus_fuscus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,imitator,Desmognathus_imitator,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,monticola,Desmognathus_monticola,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,ochrophaeus,Desmognathus_ochrophaeus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,quadramaculatus,Desmognathus_quadramaculatus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Ensatina,eschscholtzii,Ensatina_eschscholtzii,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,bislineata,Eurycea_bislineata,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,cirrigera,Eurycea_cirrigera,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,guttolineata,Eurycea_guttolineata,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,longicauda,Eurycea_longicauda,no,no,yes,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,lucifuga,Eurycea_lucifuga,no,no,yes,yes,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,nana,Eurycea_nana,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,quadridigitata,Eurycea_quadridigitata,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,rathbuni,Eurycea_rathbuni,yes,no,no,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,tynerensis,Eurycea_tynerensis,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,wilderae,Eurycea_wilderae,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Gyrinophilus,porphyriticus,Gyrinophilus_porphyriticus,no,yes,no,no,no,no,yes,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Hemidactylium,scutatum,Hemidactylium_scutatum,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,ambrosii,Hydromantes_ambrosii,no,no,yes,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,brunus,Hydromantes_brunus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,italicus,Hydromantes_italicus,no,no,yes,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,platycephalus,Hydromantes_platycephalus,no,no,yes,yes,no,no,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,albagula,Plethodon_albagula,no,no,yes,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,cinereus,Plethodon_cinereus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,dunni,Plethodon_dunni,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,elongatus,Plethodon_elongatus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,Plethodon_glutinosus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,idahoensis,Plethodon_idahoensis,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,jordani,Plethodon_jordani,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,vehiculum,Plethodon_vehiculum,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,montanus,Pseudotriton_montanus,no,no,no,no,no,yes,no,subfossorial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Pseudotriton,ruber,Pseudotriton_ruber,yes,no,no,no,no,yes,no,NA
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Stereochilus,marginatus,Stereochilus_marginatus,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,boreas,Thorius_boreas,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Thorius,pennatulus,Thorius_pennatulus,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,alabamensis,Necturus_alabamensis,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,beyeri,Necturus_beyeri,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,lewisi,Necturus_lewisi,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Proteidae,Necturinae,Necturus,maculosus,Necturus_maculosus,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,cascadae,Rhyacotriton_cascadae,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,olympicus,Rhyacotriton_olympicus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Rhyacotritonidae,NA,Rhyacotriton,variegatus,Rhyacotriton_variegatus,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Chioglossa,lusitanica,Chioglossa_lusitanica,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,ensicauda,Cynops_ensicauda,no,yes,no,no,no,no,no,semiaquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,pyrrhogaster,Cynops_pyrrhogaster,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,wolterstorffi,Cynops_wolterstorffi,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Echinotriton,andersoni,Echinotriton_andersoni,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Euproctus,montanus,Euproctus_montanus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ichthyosaura,alpestris,Ichthyosaura_alpestris,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,boscai,Lissotriton_boscai,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,helveticus,Lissotriton_helveticus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,italicus,Lissotriton_italicus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,montandoni,Lissotriton_montandoni,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,vulgaris,Lissotriton_vulgaris,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Lyciasalamandra,luschani,Lyciasalamandra_luschani,no,no,yes,no,no,no,yes,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Mertensiella,caucasica,Mertensiella_caucasica,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,crocatus,Neurergus_crocatus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,strauchii,Neurergus_strauchii,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Notophthalmus,viridescens,Notophthalmus_viridescens,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pachytriton,brevipes,Pachytriton_brevipes,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,deloustali,Paramesotriton_deloustali,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,hongkongensis,Paramesotriton_hongkongensis,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,poireti,Pleurodeles_poireti,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl,Pleurodeles_waltl,no,yes,no,no,no,no,yes,semiaquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl_gilled,Pleurodeles_waltl_gilled,yes,no,no,no,no,no,yes,aquatic
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,atra,Salamandra_atra,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,salamandra,Salamandra_salamandra,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Salamandrininae,Salamandrina,terdigitata,Salamandrina_terdigitata,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,granulosa,Taricha_granulosa,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,rivularis,Taricha_rivularis,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,torosa,Taricha_torosa,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,carnifex,Triturus_carnifex,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,cristatus,Triturus_cristatus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,karelinii,Triturus_karelinii,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,shanjing,Tylototriton_shanjing,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,taliangensis,Tylototriton_taliangensis,no,no,yes,no,no,no,no,terrestrial
#REF!,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,verrucosus,Tylototriton_verrucosus,yes,no,yes,no,no,no,no,NA
#REF!,Caudata,Sirenidae,Sirenidae,NA,Pseudobranchus,striatus,Pseudobranchus_striatus,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Sirenidae,Sirenidae,NA,Siren,intermedia,Siren_intermedia,yes,no,no,no,no,no,no,aquatic
#REF!,Caudata,Sirenidae,Sirenidae,NA,Siren,lacertina,Siren_lacertina,yes,no,no,no,no,no,no,aquatic