Family,Genus,Species,Activity Period,Development,Life History,Adult Habitat,eye_av,cor_av,svl_av,rootmass_av,pglsres.cdmass
Ambystomatidae,Ambystoma,amblycephalum,nocturnal,paedomorphic,free-living,lentic water,3.88,2.6,66.5,2.1841775,0.031438466
Ambystomatidae,Ambystoma,dumerilii,nocturnal,paedomorphic,free-living,lentic water,5.73,3.225,169,5.0894566,-0.09032771
Ambystomatidae,Ambystoma,mexicanum,nocturnal,paedomorphic,free-living,lentic water,5.023333,2.8883333,123,3.7908429,-0.06322736
Ambystomatidae,Ambystoma,ordinarium,diurnal,paedomorphic,free-living,lotic water,2.73,2.1,55,1.8823857,-0.023465807
Ambystomatidae,Ambystoma,rosaceum,nocturnal,paedomorphic,free-living,lotic water,3.555,2.44,63,2.2461274,-0.003264056
Amphiumidae,Amphiuma,means,nocturnal,paedomorphic,free-living,lentic water,NA,3.5816667,543,6.8635459,-0.120892924
Amphiumidae,Amphiuma,tridactylum,nocturnal,paedomorphic,free-living,lentic water,NA,2.8383333,545,6.0123127,-0.188209993
Cryptobranchidae,Andrias,davidianus,nocturnal,metamorphosizing,free-living,lotic water,NA,4.145,338,8.419353,-0.109458091
Cryptobranchidae,Andrias,japonicus,nocturnal,metamorphosizing,free-living,lotic water,NA,3.4483333,326.33333,9.4195759,-0.217947182
Plethodontidae,Cryptobranchus,alleganiensis,nocturnal,metamorphosizing,free-living,lotic water,NA,3.66625,283.25,7.2339508,-0.124134867
Plethodontidae,Cynops,wolterstorffi,NA,metamorphosizing,free-living,lentic water,4.468333,3.2366667,72.66667,2.2419859,0.119913846
Plethodontidae,Dicamptodon,aterrimus,nocturnal,paedomorphic,free-living,lotic water,5.643333,4.39,120.33333,3.2542452,0.157439619
Plethodontidae,Dicamptodon,copei,NA,paedomorphic,free-living,lotic water,4.3175,3.3825,95.5,2.7113256,0.090672034
Plethodontidae,Eurycea,nana,NA,paedomorphic,free-living,lotic water,NA,1.095,26.33333,0.6751099,-0.045261736
Plethodontidae,Necturus,alabamensis,nocturnal,paedomorphic,free-living,lotic water,NA,2.595,112,3.0282516,-0.052567117
Plethodontidae,Necturus,beyeri,nocturnal,paedomorphic,free-living,lotic water,NA,2.8125,120,3.1505708,-0.027691231
Plethodontidae,Necturus,lewisi,nocturnal,paedomorphic,free-living,lentic water,NA,3.315,152.33333,3.7182121,0.001533033
Plethodontidae,Necturus,lewisi,nocturnal,paedomorphic,free-living,lotic water,NA,3.315,152.33333,3.7182121,0.001533033
Plethodontidae,Necturus,maculosus,nocturnal,paedomorphic,free-living,lentic water,NA,4.1833333,210.33333,4.9216098,0.031201109
Plethodontidae,Necturus,maculosus,nocturnal,paedomorphic,free-living,lotic water,NA,4.1833333,210.33333,4.9216098,0.031201109
Rhyacotritonidae,Pachyhynobius,shangchengensis,nocturnal,metamorphosizing,free-living,lotic water,4.873333,2.8266667,116.33333,3.1720161,-0.027235893
Rhyacotritonidae,Pachytriton,brevipes,nocturnal,metamorphosizing,free-living,lotic water,3.621667,2.5733333,64,2.0289199,0.045729788
Rhyacotritonidae,Paradactylodon,mustersi,NA,metamorphosizing,free-living,lentic water,4.729167,3.2433333,82.5,2.1413473,0.132497619
Salamandridae,Paramesotriton,deloustali,NA,metamorphosizing,free-living,lentic water,6.1,4.135,103,3.0311447,0.149527977
Salamandridae,Paramesotriton,deloustali,NA,metamorphosizing,free-living,lotic water,6.1,4.135,103,3.0311447,0.149527977
Salamandridae,Pleurodeles,waltl,nocturnal,paedomorphic,free-living,lentic water,4.15,2.66625,78.5,2.2119108,0.039154367
Salamandridae,Pseudobranchus,striatus,nocturnal,paedomorphic,free-living,lentic water,NA,0.965,95,1.4906334,-0.301763977
Salamandridae,Ranodon,sibiricus,nocturnal,metamorphosizing,free-living,lotic water,4.976667,4.14,88,2.1904579,0.23273461
Salamandridae,Siren,intermedia,nocturnal,paedomorphic,free-living,lentic water,NA,2.23,314,5.9478588,-0.290225058
Salamandridae,Siren,lacertina,nocturnal,paedomorphic,free-living,lentic water,NA,3.02,331.66667,7.0536684,-0.201926071
Salamandridae,Stereochilus,marginatus,nocturnal,metamorphosizing,free-living,lentic water,1.835,1.375,49.5,1.4187083,-0.135400536