,Genus_Species,eye_av,cor_av,svl_av,rootmass_av,n,Order,Suborder,Family,Subfamily,Genus,Species,Activity Period,Adult Habitat,Development,Life History,Larval Habitat,pglsres.cdmass
1,Ambystoma_amblycephalum,3.88,2.6,66.5,2.18417752171208,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,amblycephalum,nocturnal,aquatic,paedomorphic,free-living,lentic water,0.0314384660838746
2,Ambystoma_annulatum,3.37166666666667000,2.24333333333333,82.6666666666667,2.13559679708487,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,annulatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0269156777435581
3,Ambystoma_bishopi,2.4925,1.6675,58,1.52183676454671,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,bishopi,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0694986983706573
4,Ambystoma_californiense,4.97833333333333,3.55166666666667,106.666666666667,3.22010104843117,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,californiense,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0680920800206666
5,Ambystoma_dumerilii,5.73,3.225,169,5.08945662413918,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,dumerilii,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.090327709817805
6,Ambystoma_gracile,5.36,4.06166666666667,84.3333333333333,2.2933024492182,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,gracile,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.212759718869716
7,Ambystoma_granulosum,3.405,2.165,63,1.7099759466767,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,granulosum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0142239724552417
8,Ambystoma_jeffersonianum,3.25833333333333,2.39,65.3333333333333,1.8261645700048,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,jeffersonianum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0404309407209926
9,Ambystoma_macrodactylum,3.91583333333333,2.6375,68,1.78744946118549,6,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,macrodactylum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.088679814394694
10,Ambystoma_maculatum,3.97833333333333,2.54,79,2.10190550215159,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,maculatum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.03107186206221
11,Ambystoma_mexicanum,5.02333333333333,2.88833333333333,123,3.79084287529876,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,mexicanum,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.0632273596956227
12,Ambystoma_opacum,3.73,2.81833333333333,67.6666666666667,1.84217075692956,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,opacum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.109804104237544
13,Ambystoma_ordinarium,2.73,2.1,55,1.88238568417309,1,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,ordinarium,diurnal,aquatic,paedomorphic,free-living,lotic water,-0.0234658070496849
14,Ambystoma_rosaceum,3.555,2.44,63,2.24612735373655,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,rosaceum,nocturnal,aquatic,paedomorphic,free-living,lotic water,-0.00326405590007595
15,Ambystoma_talpoideum,2.895,1.92,46.5,1.29959012431625,2,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,talpoideum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0319205116161855
16,Ambystoma_texanum,2.975,1.995,74.6666666666667,1.87397252082396,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,texanum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,-0.0446020117435302
17,Ambystoma_tigrinum,5.65,3.87833333333333,97.6666666666667,2.86713735877051,3,Caudata,Salamandroidea,Ambystomatidae,NA,Ambystoma,tigrinum,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.13585663677072
18,Amphiuma_means,NA,3.58166666666667,543,6.86354589441893,3,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,means,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.120892923642345
19,Amphiuma_tridactylum,NA,2.83833333333333,545,6.01231271168679,3,Caudata,Salamandroidea,Amphiumidae,NA,Amphiuma,tridactylum,nocturnal,aquatic,paedomorphic,free-living,lentic water,-0.188209992510634
20,Andrias_davidianus,NA,4.145,338,8.41935303943248,2,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,davidianus,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.109458091048249
21,Andrias_japonicus,NA,3.44833333333333,326.333333333333,9.41957594785889,3,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Andrias,japonicus,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.21794718174063
22,Aneides_aeneus,3.76166666666667,2.67333333333333,60.3333333333333,1.45382516788292,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,aeneus,nocturnal,terrestrial,direct development,no free-living,no larva,0.147126059627146
23,Aneides_ferreus,3.43666666666667,2.39166666666667,58,1.44875489013811,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,ferreus,nocturnal,scansorial,direct development,no free-living,no larva,0.0996628637390886
24,Aneides_flavipunctatus,3.17333333333333,2.13833333333333,60,1.29171605502366,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,flavipunctatus,nocturnal,terrestrial,direct development,no free-living,no larva,0.0802416023874011
25,Aneides_hardii,2.78333333333333,1.82333333333333,46.3333333333333,1.07538961483547,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,hardii,NA,subfossorial,direct development,no free-living,no larva,0.0576863448697589
26,Aneides_lugubris,4.70833333333333,3.55333333333333,84.6666666666667,1.92732756743613,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,lugubris,nocturnal,scansorial,direct development,no free-living,no larva,0.198945152640496
27,Aneides_niger,3.43666666666667,2.575,73.6666666666667,1.743307515018,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,niger,nocturnal,semiaquatic,direct development,no free-living,no larva,0.0846294630736488
28,Aneides_vagrans,3.45666666666667,2.47,68.6666666666667,1.57924447601026,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Aneides,vagrans,nocturnal,scansorial,direct development,no free-living,no larva,0.0917072053390021
29,Batrachoseps_attenuatus,1.91166666666667,1.36833333333333,42.3333333333333,0.993140763736866,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,attenuatus,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0467352027310795
30,Batrachoseps_major,2.83333333333333,1.79666666666667,48.3333333333333,1.14513734223081,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,major,nocturnal,subfossorial,direct development,no free-living,no larva,0.0352921634154951
31,Batrachoseps_nigriventris,1.82666666666667,1.24333333333333,35.6666666666667,0.805830480319564,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,nigriventris,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0351411503736096
32,Batrachoseps_pacificus,2.03333333333333,1.40333333333333,40.3333333333333,1.02158138161905,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,pacificus,nocturnal,subfossorial,direct development,no free-living,no larva,-0.0429530906067848
33,Batrachoseps_relictus,2.015,1.42,39,0.862535584967474,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Batrachoseps,relictus,nocturnal,subfossorial,direct development,no free-living,no larva,0.00525020500487403
34,Batrachuperus_karlschmidti,3.94666666666667,2.75833333333333,73.3333333333333,1.91116796903992,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,karlschmidti,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.0910991186919468
35,Batrachuperus_yenyuanensis,4.80166666666667,3.51,85,2.39541827972683,3,Caudata,Cryptobranchoidea,Hynobiidae,Hynobiinae,Batrachuperus,yenyuanensis,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.138273577191454
36,Bolitoglossa_altamazonica,3.4,2.395,53,1.51973910573027,1,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,altamazonica,nocturnal,scansorial,direct development,no free-living,no larva,0.088092068402787
37,Bolitoglossa_engelhardti,3.30333333333333,2.35166666666667,48.6666666666667,1.2613016154594,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,engelhardti,NA,scansorial,direct development,no free-living,no larva,0.127606958728804
38,Bolitoglossa_lignicolor,3.77,2.58,62,1.44064528692515,1,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,lignicolor,nocturnal,scansorial,direct development,no free-living,no larva,0.134010738084416
39,Bolitoglossa_marmorea,4.09166666666667,2.92,62.3333333333333,1.53056983387466,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,marmorea,nocturnal,scansorial,direct development,no free-living,no larva,0.172361812478564
40,Bolitoglossa_mexicana,4.35333333333333,2.96666666666667,80,1.92788054902655,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,mexicana,nocturnal,scansorial,direct development,no free-living,no larva,0.120504933719436
41,Bolitoglossa_morio,3.31166666666667,2.29,56,1.42177585049763,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,morio,nocturnal,scansorial,direct development,no free-living,no larva,0.0855824675136486
42,Bolitoglossa_platydactyla,4.14833333333333,2.94166666666667,84,1.97625077023645,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,platydactyla,nocturnal,scansorial,direct development,no free-living,no larva,0.110522100371568
43,Bolitoglossa_rostrata,3.515,2.36833333333333,47,1.18019632162372,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rostrata,nocturnal,scansorial,direct development,no free-living,no larva,0.147591549047829
44,Bolitoglossa_rufescens,2.58666666666667,1.78333333333333,33.6666666666667,0.877313587038634,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,rufescens,nocturnal,scansorial,direct development,no free-living,no larva,0.0998702578106873
45,Bolitoglossa_subpalmata,3.21166666666667,2.425,45.6666666666667,1.11691943495519,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Bolitoglossa,subpalmata,nocturnal,scansorial,direct development,no free-living,no larva,0.171887189741654
46,Chioglossa_lusitanica,2.54666666666667,1.89166666666667,45,1.20578806883832,3,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Chioglossa,lusitanica,nocturnal,terrestrial,metamorphosizing,free-living,lotic water,0.0445328229733523
47,Chiropterotriton_chiropterus,2.56333333333333,2.05166666666667,35.3333333333333,0.910840895105219,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,chiropterus,NA,scansorial,direct development,no free-living,no larva,0.151198372469751
48,Chiropterotriton_multidentatus,2.58833333333333,1.775,40.3333333333333,0.941655700247935,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Chiropterotriton,multidentatus,nocturnal,scansorial,direct development,no free-living,no larva,0.0798210419392969
49,Cryptobranchus_alleganiensis,NA,3.66625,283.25,7.23395082849052,4,Caudata,Cryptobranchoidea,Cryptobranchidae,NA,Cryptobranchus,alleganiensis,nocturnal,aquatic,metamorphosizing,free-living,lotic water,-0.124134866806256
50,Cynops_ensicauda,3.835,2.98,54,1.81104322103931,1,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,ensicauda,NA,semiaquatic,metamorphosizing,free-living,lentic water,0.138365759205615
51,Cynops_pyrrhogaster,4.70833333333333,3.40666666666667,72,2.28877951712248,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,pyrrhogaster,NA,semiaquatic,metamorphosizing,free-living,lentic water,0.136887587483031
52,Cynops_wolterstorffi,4.46833333333333,3.23666666666667,72.6666666666667,2.24198593489615,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Cynops,wolterstorffi,NA,aquatic,metamorphosizing,free-living,lentic water,0.119913846048669
53,Desmognathus_auriculatus,2.80166666666667,2.03,58.6666666666667,1.60362201765371,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,auriculatus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.00260719188020414
54,Desmognathus_brimleyorum,2.71666666666667,1.98,51,1.44073763094781,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,brimleyorum,NA,semiaquatic,metamorphosizing,free-living,lentic water,0.019039907197859
55,Desmognathus_conanti,2.58,2.01333333333333,53,1.43447580012026,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,conanti,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.0273991061161247
56,Desmognathus_fuscus,3.14833333333333,2.46666666666667,60,1.58376896305387,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,fuscus,NA,semiaquatic,metamorphosizing,free-living,lotic water,0.0903925135359484
57,Desmognathus_imitator,2.63833333333333,1.90333333333333,45.3333333333333,1.31296876565508,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,imitator,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.0255271792136362
58,Desmognathus_monticola,3.535,2.55833333333333,61.6666666666667,1.85962839862077,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,monticola,nocturnal,terrestrial,metamorphosizing,free-living,lotic water,0.0653680535254506
59,Desmognathus_ochrophaeus,2.17833333333333,1.69,41,1.08399892410943,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,ochrophaeus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.0226773145408719
60,Desmognathus_quadramaculatus,3.74166666666667,2.63,68.3333333333333,1.81643807917099,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,quadramaculatus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.0833481329729766
61,Dicamptodon_aterrimus,5.64333333333333,4.39,120.333333333333,3.2542452303802,3,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,aterrimus,nocturnal,aquatic,paedomorphic,free-living,lotic water,0.157439619094519
62,Dicamptodon_copei,4.3175,3.3825,95.5,2.7113256130522,2,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,copei,NA,aquatic,paedomorphic,free-living,lotic water,0.0906720337166558
63,Dicamptodon_ensatus,8.41666666666667,6.09,149,4.3042946156137,3,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,ensatus,nocturnal,terrestrial,metamorphosizing,free-living,lotic water,0.228409844479791
64,Dicamptodon_tenebrosus,7.97666666666667,5.955,141,4.3855377615539,3,Caudata,Salamandroidea,Dicamptodontidae,NA,Dicamptodon,tenebrosus,nocturnal,subfossorial,metamorphosizing,free-living,lotic water,0.213914698840616
65,Echinotriton_andersoni,5.15666666666667,3.22,92.3333333333333,2.84316710797848,3,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Echinotriton,andersoni,NA,subfossorial,metamorphosizing,free-living,lentic water,0.0572043535603476
66,Ensatina_eschscholtzii,4.85,3.83166666666667,75.6666666666667,1.97866043955917,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Ensatina,eschscholtzii,nocturnal,subfossorial,direct development,no free-living,no larva,0.225006188230817
67,Euproctus_montanus,3.345,2.2375,48.5,1.50118570996788,2,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Euproctus,montanus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.0616762005112237
68,Eurycea_bislineata,2.205,1.705,44,1.16681325174933,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,bislineata,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.00777598947720701
69,Eurycea_cirrigera,2.28833333333333,1.83333333333333,38.3333333333333,1.02526533742458,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,cirrigera,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.072211253561584
70,Eurycea_guttolineata,3.32833333333333,2.50833333333333,51.3333333333333,1.37344253804573,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,guttolineata,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.13393579396402
71,Eurycea_longicauda,3.35357142857143,2.50357142857143,53.5714285714286,1.295621754489,7,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,longicauda,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.147957707206328
72,Eurycea_lucifuga,3.67333333333333,2.63166666666667,61,1.23360962147017,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,lucifuga,nocturnal,scansorial,metamorphosizing,free-living,both,0.182112760681425
73,Eurycea_nana,NA,1.095,26.3333333333333,0.67510985483871,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,nana,NA,aquatic,paedomorphic,free-living,lotic water,-0.0452617361156095
74,Eurycea_quadridigitata,1.82166666666667,1.49166666666667,29,0.748498876216243,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,quadridigitata,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0627289702074735
